Date time,Home (kW),Solar (kW),Powerwall (kW),Grid (kW),Energy Remaining (%)
2023-03-25T00:00:00-07:00,0.7,0,0.7,0,38
2023-03-25T00:05:00-07:00,0.6,0,0.6,0,
2023-03-25T00:10:00-07:00,0.6,0,0.6,0,
2023-03-25T00:15:00-07:00,0.6,0,0.6,0,37
2023-03-25T00:20:00-07:00,0.5,0,0.5,0,
2023-03-25T00:25:00-07:00,0.6,0,0.6,0,
2023-03-25T00:30:00-07:00,0.7,0,0.7,0,36
2023-03-25T00:35:00-07:00,0.6,0,0.6,0,
2023-03-25T00:40:00-07:00,0.6,0,0.6,0,
2023-03-25T00:45:00-07:00,0.6,0,0.6,0,36
2023-03-25T00:50:00-07:00,0.5,0,0.5,0,
2023-03-25T00:55:00-07:00,0.5,0,0.5,0,
2023-03-25T01:00:00-07:00,0.6,0,0.6,0,35
2023-03-25T01:05:00-07:00,0.6,0,0.6,0,
2023-03-25T01:10:00-07:00,0.6,0,0.6,0,
2023-03-25T01:15:00-07:00,0.6,0,0.6,0,34
2023-03-25T01:20:00-07:00,0.6,0,0.6,0,
2023-03-25T01:25:00-07:00,0.4,0,0.4,0,
2023-03-25T01:30:00-07:00,0.5,0,0.5,0,34
2023-03-25T01:35:00-07:00,0.5,0,0.5,0,
2023-03-25T01:40:00-07:00,0.6,0,0.6,0,
2023-03-25T01:45:00-07:00,0.6,0,0.6,0,33
2023-03-25T01:50:00-07:00,0.6,0,0.6,0,
2023-03-25T01:55:00-07:00,0.6,0,0.6,0,
2023-03-25T02:00:00-07:00,0.6,0,0.6,0,33
2023-03-25T02:05:00-07:00,0.5,0,0.5,0,
2023-03-25T02:10:00-07:00,0.5,0,0.5,0,
2023-03-25T02:15:00-07:00,0.6,0,0.6,0,32
2023-03-25T02:20:00-07:00,0.5,0,0.5,0,
2023-03-25T02:25:00-07:00,0.5,0,0.5,0,
2023-03-25T02:30:00-07:00,0.5,0,0.5,0,31
2023-03-25T02:35:00-07:00,0.6,0,0.6,0,
2023-03-25T02:40:00-07:00,0.5,0,0.5,0,
2023-03-25T02:45:00-07:00,0.6,0,0.6,0,31
2023-03-25T02:50:00-07:00,0.6,0,0.6,0,
2023-03-25T02:55:00-07:00,0.6,0,0.6,0,
2023-03-25T03:00:00-07:00,0.7,0,0.7,0,30
2023-03-25T03:05:00-07:00,0.6,0,0.6,0,
2023-03-25T03:10:00-07:00,0.5,0,0.5,0,
2023-03-25T03:15:00-07:00,0.6,0,0.6,0,30
2023-03-25T03:20:00-07:00,0.5,0,0.5,0,
2023-03-25T03:25:00-07:00,0.4,0,0.4,0,
2023-03-25T03:30:00-07:00,0.5,0,0.5,0,29
2023-03-25T03:35:00-07:00,0.6,0,0.6,0,
2023-03-25T03:40:00-07:00,0.6,0,0.6,0,
2023-03-25T03:45:00-07:00,0.6,0,0.6,0,28
2023-03-25T03:50:00-07:00,0.6,0,0.6,0,
2023-03-25T03:55:00-07:00,0.7,0,0.7,0,
2023-03-25T04:00:00-07:00,0.5,0,0.5,0,28
2023-03-25T04:05:00-07:00,0.5,0,0.5,0,
2023-03-25T04:10:00-07:00,0.5,0,0.5,0,
2023-03-25T04:15:00-07:00,0.5,0,0.5,0,27
2023-03-25T04:20:00-07:00,0.6,0,0.6,0,
2023-03-25T04:25:00-07:00,0.6,0,0.6,0,
2023-03-25T04:30:00-07:00,0.7,0,0.7,0,26
2023-03-25T04:35:00-07:00,0.6,0,0.6,0,
2023-03-25T04:40:00-07:00,0.5,0,0.5,0,
2023-03-25T04:45:00-07:00,0.5,0,0.5,0,26
2023-03-25T04:50:00-07:00,0.6,0,0.6,0,
2023-03-25T04:55:00-07:00,0.5,0,0.5,0,
2023-03-25T05:00:00-07:00,0.6,0,0.6,0,25
2023-03-25T05:05:00-07:00,0.6,0,0.6,0,
2023-03-25T05:10:00-07:00,0.5,0,0.5,0,
2023-03-25T05:15:00-07:00,0.5,0,0.5,0,25
2023-03-25T05:20:00-07:00,0.5,0,0.5,0,
2023-03-25T05:25:00-07:00,0.5,0,0.5,0,
